algorithm,timestamp,keys_in_memory
SLIDING,1371.0000000000844,855
SLIDING,1371.6000000000845,896
SLIDING,1372.0000000000846,910
SLIDING,1372.6000000000847,896
SLIDING,1373.0000000000848,897
SLIDING,1373.600000000085,865
SLIDING,1374.000000000085,819
SLIDING,1374.6000000000852,732
SLIDING,1375.0000000000853,696
TUMBLING,1375.0,718
SLIDING,1375.6000000000854,687
SLIDING,1376.0000000000855,693
SLIDING,1376.6000000000856,695
SLIDING,1377.0000000000857,694
SLIDING,1377.6000000000859,710
SLIDING,1378.000000000086,705
SLIDING,1378.600000000086,700
SLIDING,1379.0000000000862,693
SLIDING,1379.6000000000863,689
SLIDING,1380.0000000000864,694
TUMBLING,1380.0,705
SLIDING,1380.6000000000865,771
SLIDING,1381.0000000000866,828
SLIDING,1381.6000000000868,869
SLIDING,1382.0000000000869,875
